VMA;lat;lon
90;48.97;4.3817
50;49.38;5.63
50;49.213;5.6255
50;45.765;3.038
80;48.387;7.5399
50;45.7727;4.83615
90;46.071812;6.475034
50;46.404;0.7122
70;46.816;0.34
90;48.88246;2.45639
50;48.969329;2.40478
90;49.383;6.0775
80;47.784;1.0304
50;48.826;2.2592
50;48.822;2.2529
50;43.30321;5.36489
50;45.725962;4.865838
50;45.722977;4.876683
50;43.759;7.4662
70;43.66;7.1026
50;43.783;7.5157
50;43.758122;7.470991
50;43.783;7.5162
50;43.655729;7.161446
50;43.707;7.2793
70;43.607;3.9227
70;43.60755;3.92288
50;48.093;-1.9957
80;47.16631;-0.65357
70;48.792;2.1795
50;48.766;1.9059
90;44.046;1.9998
90;49.037;1.0958
90;48.26078;0.91608
90;48.451;1.2934
50;48.149;1.7091
90;48.13697;1.61709
80;46.77;1.6628
90;46.816;6.0539
80;47.46997;1.11729
90;47.418;1.2775
80;47.755658;-3.239926
80;48.7867;7.55887
70;45.58267;6.73921
90;46.347;6.4332
50;48.756;0.0691
90;48.632;0.4816
80;44.845;-0.7254
50;44.878682;-0.165906
90;47.259;-2.2933
50;48.3075;-0.6205
50;45.684;4.9507
80;46.83729;-0.68316
50;46.963;-0.2097
80;43.636;2.2242
80;44.133;1.1878
80;44.033;1.1635
80;46.812;-1.8799
80;46.592041;-1.758629
80;46.94767;-2.02477
50;48.89787;2.2633
50;48.8089;2.19792
50;48.416;1.5321
50;48.805;2.1339
50;48.805;2.1339
50;50.777;3.101
50;43.44979;-1.56904
80;49.898;2.9226
50;43.10086;5.823865
50;48.7318;3.61201
50;48.73191;3.61242
90;48.844561;2.81354
80;48.43;-2.5088
70;46.181;6.2291
50;48.877;2.1067
50;49.1422;0.41131
30;48.840788;2.390433
30;48.84709;2.36061
60;42.749;0.1912
60;42.74837;0.19117
80;44.341;4.793
70;43.586;3.9189
70;45.901;6.8611
70;45.85587;6.91082
70;45.863;6.9024
70;45.889;6.8748
70;47.180606;-1.60916
80;47.924778;-1.71742
50;48.90546;2.0739
50;48.816346;2.359291
90;45.361;4.2526
80;46.41334;4.436502
90;46.619;0.3449
90;46.618;0.356
110;48.054;6.587
90;49.377654;6.09112
80;45.4141;0.86307
80;45.415;0.8791
110;48.416;1.4759
90;47.37244;0.65324
90;47.32163;0.70358
90;47.372853;0.653372
90;47.593;0.7401
90;48.108;1.891
70;47.934802;1.930114
110;48.977;2.4732
90;48.997;2.4822
90;48.173;3.3941
80;47.792;3.6229
90;48.176;3.1904
90;45.796074;4.934379
110;48.332771;4.093514
130;43.736;4.4634
130;43.937;4.604
90;43.584;1.4965
90;43.634;1.421
90;43.686;-0.1748
130;45.243;5.8603
70;47.797;1.0737
130;47.343933;-0.066891
110;48.643;5.066
110;50.55145;3.06023
